,Unnamed: 0,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
1663,1663,20220531,4433,ヒト・コミュニケーションズ・ホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1664,1664,20220531,4434,サーバーワークス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1665,1665,20220531,4435,カオナビ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1666,1666,20220531,4436,ミンカブ・ジ・インフォノイド,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1667,1667,20220531,4437,ｇｏｏｄｄａｙｓホールディングス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1668,1668,20220531,4438,Ｗｅｌｂｙ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1669,1669,20220531,4439,東名,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1670,1670,20220531,4440,ヴィッツ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1671,1671,20220531,4441,トビラシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1672,1672,20220531,4442,バルテス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1673,1673,20220531,4443,Ｓａｎｓａｎ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
1674,1674,20220531,4444,インフォネット,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1675,1675,20220531,4445,リビン・テクノロジーズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1676,1676,20220531,4446,Ｌｉｎｋ－Ｕ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1677,1677,20220531,4448,Ｃｈａｔｗｏｒｋ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1678,1678,20220531,4449,ギフティ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
1679,1679,20220531,4450,パワーソリューションズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1687,1687,20220531,4475,ＨＥＮＮＧＥ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1688,1688,20220531,4476,ＡＩ　ＣＲＯＳＳ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1689,1689,20220531,4477,ＢＡＳＥ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1690,1690,20220531,4478,フリー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1691,1691,20220531,4479,マクアケ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1692,1692,20220531,4480,メドレー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1693,1693,20220531,4481,ベース,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1694,1694,20220531,4482,ウィルズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1695,1695,20220531,4483,ＪＭＤＣ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1696,1696,20220531,4484,ランサーズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1697,1697,20220531,4485,ＪＴＯＷＥＲ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1698,1698,20220531,4486,ユナイトアンドグロウ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1699,1699,20220531,4487,スペースマーケット,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1700,1700,20220531,4488,ＡＩ　ｉｎｓｉｄｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1701,1701,20220531,4489,ペイロール,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1702,1702,20220531,4490,ビザスク,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1703,1703,20220531,4491,コンピューターマネージメント,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1704,1704,20220531,4492,ゼネテック,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1705,1705,20220531,4493,サイバーセキュリティクラウド,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1706,1706,20220531,4494,バリオセキュア,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1707,1707,20220531,4495,アイキューブドシステムズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1708,1708,20220531,4496,コマースＯｎｅホールディングス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1709,1709,20220531,4498,サイバートラスト,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1710,1710,20220531,4499,Ｓｐｅｅｅ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1798,1798,20220531,4644,イマジニア,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1807,1807,20220531,4662,フォーカスシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
